엔엘피	NNG
가락지빵	NNG
가래떡	NNG
가루우유	NNG
가지나물	NNG
간고등어	NNG
간장	NNG
갈비	NNG
갈비탕	NNG
감자튀기	NNG
감자튀김	NNG
강냉이	NNG
강정	NNG
개떡	NNG
개장	NNG
건빵	NNG
겨울냉면	NNG
경편	NNG
계란	NNG
계란덮밥	NNG
계란말이	NNG
고기	NNG
고기겹빵	NNG
고량소주	NNG
고량주	NNG
고로케	NNG
고추가루	NNG
고추장	NNG
고춧가루	NNG
곤밥	NNG
골동반	NNG
곰	NNG
곰국	NNG
공갈빵	NNG
과자	NNG
광동요리	NNG
구멍국수	NNG
구야시	NNG
국	NNG
국물	NNG
국밥	NNG
국수	NNG
국수발	NNG
국수오리	NNG
국숫발	NNG
규돈	NNG
기름밥	NNG
기름사탕	NNG
김	NNG
김밥	NNG
김초밥	NNG
김치	NNG
김치찌개	NNG
까까	NNG
깍두기	NNG
껌	NNG
꼬부랑국수	NNG
꿀	NNG
꿀타래	NNG
꿔바로우	NNG
나박김치	NNG
날김치	NNG
날달걀	NNG
날맥주	NNG
냉라면	NNG
냉면	NNG
녹차	NNG
다코야키	NNG
단디	NNG
단맛감	NNG
단무지	NNG
단물얼음	NNG
단얼음	NNG
달걀	NNG
달걀덮밥	NNG
달걀말이	NNG
닭갈비	NNG
닭강정	NNG
닭개장	NNG
닭고기	NNG
닭고기덮밥	NNG
닭꼬치	NNG
닭튀김	NNG
대굿국	NNG
덮밥	NNG
도넛	NNG
도미빵	NNG
돈가스	NNG
동치미	NNG
돼지고기	NNG
돼지고기덮밥	NNG
된장	NNG
된장찌개	NNG
두부	NNG
디저트	NNG
땅콩과자	NNG
떡	NNG
떡국	NNG
떡꼬치	NNG
떡볶이	NNG
뜨더국	NNG
라면	NNG
라면떡볶이	NNG
라면수프	NNG
라바슈	NNG
라볶이	NNG
럼	NNG
레모네이드	NNG
레몬수	NNG
마가린	NNG
마른반찬	NNG
마른오징어	NNG
마멀레이드	NNG
마요네즈	NNG
마카로니	NNG
마파두부	NNG
막걸리	NNG
막대사탕	NNG
만두	NNG
만두기	NNG
맘마	NNG
맥주	NNG
머스터드	NNG
머스터드소스	NNG
먹거리	NNG
면발	NNG
묵	NNG
문어빵	NNG
물냉면	NNG
미숫가루	NNG
미음	NNG
밀가루	NNG
밀국수	NNG
밀크커피	NNG
바게트	NNG
바비큐	NNG
바삭과자	NNG
박고지	NNG
박하사탕	NNG
밥	NNG
밥감주	NNG
배추김치	NNG
배춧국	NNG
백설탕	NNG
백엽다	NNG
백포도주	NNG
버터	NNG
보드카	NNG
보르시	NNG
보리밥	NNG
보리차	NNG
보릿가루	NNG
보신탕	NNG
보쌈김치	NNG
볶음밥	NNG
부대찌개	NNG
부침개	NNG
분유	NNG
분탕	NNG
불고기	NNG
붕어빵	NNG
브랜디	NNG
블랙커피	NNG
비빔	NNG
비빔냉면	NNG
비빔밥	NNG
빙수	NNG
빠다	NNG
빵	NNG
삐짜	NNG
사이다	NNG
사탕	NNG
사탕가루	NNG
삶은달걀	NNG
삼각김밥	NNG
삼겹살	NNG
삼계탕	NNG
삼두음	NNG
삼정과	NNG
삼합미음	NNG
새우튀김	NNG
샌드위치	NNG
샐러드	NNG
생강주	NNG
생강즙	NNG
생강차	NNG
생김치	NNG
생라면	NNG
생맥주	NNG
생선묵	NNG
생선전	NNG
생선회	NNG
생황장	NNG
샤실리크	NNG
샴팡	NNG
샴페인	NNG
설고	NNG
설고빵	NNG
설기과자	NNG
설기빵	NNG
설탕	NNG
누룽지탕	NNG
탕수육	NNG
라조육	NNG
해삼탕	NNG
잡치	NNG
양장피	NNG
깐풍기	NNG
라조기	NNG
고추잡채	NNG
난자완스	NNG
깐쇼새우	NNG
깐풍육	NNG
해물잡탕	NNG
팔보채	NNG
유산슬	NNG
마파두부	NNG
짜장면	NNG
짬뽕	NNG
우동	NNG
울면	NNG
간짜장	NNG
잡채밥	NNG
양송이덮밥	NNG
새우볶음밥	NNG
삼선볶음밥	NNG
마파두부밥	NNG
짜장덮밥	NNG
볶음밥	NNG
유산슬덮밥	NNG
잡탕밥	NNG
삼선짬뽕	NNG
삼선우동	NNG
삼선간짜장	NNG
떡국	NNG
떡만두국	NNG
갈비탕	NNG
왕만두	NNG
육개장	NNG
제육덮밥	NNG
오징어덮밥	NNG
자장	NNG
자장면	NNG
자장밥	NNG
1시	NNG
2시	NNG
3시	NNG
4시	NNG
5시	NNG
6시	NNG
7시	NNG
8시	NNG
9시	NNG
10시	NNG
11시	NNG
12시	NNG
13시	NNG
14시	NNG
15시	NNG
16시	NNG
17시	NNG
18시	NNG
19시	NNG
20시	NNG
21시	NNG
22시	NNG
23시	NNG
24시	NNG
0분	NNG
1분	NNG
2분	NNG
3분	NNG
4분	NNG
5분	NNG
6분	NNG
7분	NNG
8분	NNG
9분	NNG
10분	NNG
11분	NNG
12분	NNG
13분	NNG
14분	NNG
15분	NNG
16분	NNG
17분	NNG
18분	NNG
19분	NNG
20분	NNG
21분	NNG
22분	NNG
23분	NNG
24분	NNG
25분	NNG
26분	NNG
27분	NNG
28분	NNG
29분	NNG
30분	NNG
31분	NNG
32분	NNG
33분	NNG
34분	NNG
35분	NNG
36분	NNG
37분	NNG
38분	NNG
39분	NNG
40분	NNG
41분	NNG
42분	NNG
43분	NNG
44분	NNG
45분	NNG
46분	NNG
47분	NNG
48분	NNG
49분	NNG
50분	NNG
51분	NNG
52분	NNG
53분	NNG
54분	NNG
55분	NNG
56분	NNG
57분	NNG
58분	NNG
59분	NNG
제주도	NNG
제주시	NNG
서귀포시	NNG
서귀포	NNG
해수욕장	NNG
ㄱㅐ	NNG
ㄲㅏ	NNG
ㄲㅑ	NNG
ㅎ마ㅣㅇ뤼ㅏㅇ	NNG
아아아아아	NNG
하하하하하	NNG
ㄲㅣ	NNG
ㅅㅂㄹㅁ	NNG
ㅅㅐ	NNG
ㅆㅂㄹㅁ	NNG
ㅆㅍ	NNG
ㅆㅣ	NNG
ㅆ앙	NNG
ㅍㅏ	NNG
凸	NNG
갈보	NNG
갈보년	NNG
같은년 	NNG
같은뇬	NNG
색스	NNG
개같은	NNG
개구라	NNG
개년	NNG
개놈	NNG
개뇬	NNG
개대중	NNG
개독	NNG
개돼중	NNG
개랄	NNG
개보지	NNG
개뻥	NNG
개뿔	NNG
개새	NNG
개새기	NNG
개새끼	NNG
개새키	NNG
개색기	NNG
개색끼	NNG
개색키	NNG
개색히	NNG
개섀끼	NNG
개세	NNG
개세끼	NNG
개세이	NNG
개소리	NNG
개쑈	NNG
개쇳기	NNG
